CVE ID,First Seen,Days in Limbo,Registry Status,Source Count,Primary Source,Evidence URL
CVE-2026-0777,2026-02-06,8,NOT_FOUND,1,ZDI Advisories,http://www.zerodayinitiative.com/advisories/ZDI-26-069/
CVE-2025-62878,2026-02-05,9,NOT_FOUND,1,GitHub Security Advisories,https://github.com/advisories/GHSA-jr3w-9vfr-c746
CVE-2025-12805,2026-02-04,10,NOT_FOUND,1,Red Hat Security Advisories,https://access.redhat.com/hydra/rest/securitydata/cve.json
CVE-2026-1767,2026-02-03,11,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-1766,2026-02-03,11,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-1765,2026-02-03,11,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-1764,2026-02-03,11,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2025-63374,2026-02-03,11,NOT_FOUND,1,ZDI Advisories,http://www.zerodayinitiative.com/advisories/ZDI-26-059/
CVE-2025-67601,2026-02-01,12,NOT_FOUND,1,GitHub Security Advisories,https://github.com/advisories/GHSA-mc24-7m59-4q5p
CVE-2026-0797,2026-01-30,15,NOT_FOUND,1,ZDI Advisories,http://www.zerodayinitiative.com/advisories/ZDI-26-050/
CVE-2025-58151,2026-01-27,18,NOT_FOUND,1,OSS Security,https://seclists.org/oss-sec/2026/q1/118
CVE-2026-1220,2026-01-20,25,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-1200,2026-01-20,25,NOT_FOUND,1,Red Hat Security Data,https://access.redhat.com/hydra/rest/securitydata/cve.json
CVE-2026-0665,2026-01-13,32,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2025-14840,2026-01-13,32,NOT_FOUND,1,Red Hat Security Data,https://access.redhat.com/hydra/rest/securitydata/cve.json
CVE-2025-11563,2026-01-12,33,NOT_FOUND,1,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2025-0577,2026-01-12,33,NOT_FOUND,1,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2025-10256,2026-01-12,33,NOT_FOUND,1,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2025-1272,2026-01-12,33,NOT_FOUND,1,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2025-14876,2026-01-12,33,NOT_FOUND,1,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2025-8860,2026-01-12,33,NOT_FOUND,1,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2025-12343,2026-01-12,33,NOT_FOUND,1,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2025-14338,2026-01-09,35,NOT_FOUND,1,OSS Security,https://seclists.org/oss-sec/2026/q1/46
CVE-2025-66005,2026-01-09,35,NOT_FOUND,1,OSS Security,https://seclists.org/oss-sec/2026/q1/46
