CVE ID,First Seen,Days in Limbo,Registry Status,Source Count,Primary Source,Evidence URL
CVE-2026-1609,2026-02-10,0,NOT_FOUND,1,Red Hat Security Data,https://access.redhat.com/hydra/rest/securitydata/cve.json
CVE-2026-1584,2026-02-10,0,NOT_FOUND,1,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-2239,2026-02-09,1,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-2100,2026-02-07,3,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2025-65852,2026-02-07,3,NOT_FOUND,1,GitHub Security Advisories,https://github.com/advisories/GHSA-rjv5-9px2-fqw6
CVE-2026-0777,2026-02-06,4,NOT_FOUND,1,ZDI Advisories,http://www.zerodayinitiative.com/advisories/ZDI-26-069/
CVE-2025-62878,2026-02-05,5,NOT_FOUND,1,GitHub Security Advisories,https://github.com/advisories/GHSA-jr3w-9vfr-c746
CVE-2025-12805,2026-02-04,6,NOT_FOUND,1,Red Hat Security Advisories,https://access.redhat.com/hydra/rest/securitydata/cve.json
CVE-2026-1767,2026-02-03,7,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-1766,2026-02-03,7,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-1765,2026-02-03,7,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-1764,2026-02-03,7,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2025-63374,2026-02-03,7,NOT_FOUND,1,ZDI Advisories,http://www.zerodayinitiative.com/advisories/ZDI-26-059/
CVE-2025-67601,2026-02-01,9,NOT_FOUND,1,GitHub Security Advisories,https://github.com/advisories/GHSA-mc24-7m59-4q5p
CVE-2026-0797,2026-01-30,11,NOT_FOUND,1,ZDI Advisories,http://www.zerodayinitiative.com/advisories/ZDI-26-050/
CVE-2025-58151,2026-01-27,14,NOT_FOUND,1,OSS Security,https://seclists.org/oss-sec/2026/q1/118
CVE-2026-1220,2026-01-20,21,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-1200,2026-01-20,21,NOT_FOUND,1,Red Hat Security Data,https://access.redhat.com/hydra/rest/securitydata/cve.json
CVE-2026-0665,2026-01-13,28,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2025-14840,2026-01-13,28,NOT_FOUND,1,Red Hat Security Data,https://access.redhat.com/hydra/rest/securitydata/cve.json
CVE-2025-11563,2026-01-12,29,NOT_FOUND,1,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2025-0577,2026-01-12,29,NOT_FOUND,1,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2025-14282,2026-01-12,29,NOT_FOUND,1,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2025-10256,2026-01-12,29,NOT_FOUND,1,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2025-1272,2026-01-12,29,NOT_FOUND,1,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2025-14876,2026-01-12,29,NOT_FOUND,1,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2025-8860,2026-01-12,29,NOT_FOUND,1,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2025-12343,2026-01-12,29,NOT_FOUND,1,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2025-14338,2026-01-09,32,NOT_FOUND,1,OSS Security,https://seclists.org/oss-sec/2026/q1/46
CVE-2025-66005,2026-01-09,32,NOT_FOUND,1,OSS Security,https://seclists.org/oss-sec/2026/q1/46
